amplitude,kind,parameter,file1_mean,file1_std,file2_mean,file2_std,delta_file2_minus_file1,combined_std,pull,file1_n,file2_n
a_T_1_m1,magnitude,a_T_1_m1,0.32710424684808687,2.20699238628588e-05,0.663803159548557,0.0029605350695622494,0.3366989127004701,0.0029606173308361324,113.72591425227527,413,676
a_T_1_m1,phase,aphi_T_1_m1,0.47591309505739376,0.0005918869100530966,1.6747004576993474,0.01837518732796438,1.1987873626419532,0.01838471755159907,65.20564481218722,413,676
a_T_1_0,magnitude,a_T_1_0,0.33169670920187044,1.4534523511888304e-05,0.26987221698593167,0.000471497744250623,-0.061824492215938776,0.00047172171373294187,-131.06136608954105,413,676
a_T_1_0,phase,aphi_T_1_0,0.3688944952743394,0.0004984166296400324,0.21978331064229328,0.007076379706523642,-0.1491111846320461,0.0070939106906981395,-21.01960274571366,413,676
a_T_1_1,magnitude,a_T_1_1,0.10659208076041306,1.565501302475202e-05,0.25279408914803786,0.014490209833678502,0.14620200838762482,0.014490218290400802,10.08970365094347,413,676
a_T_1_1,phase,aphi_T_1_1,0.0,-0.0,0.0,0.0,0.0,0.0,,413,676
a_L_1_0,magnitude,a_L_1_0,0.1670274182145766,4.98946818289181e-05,0.13733925591547907,0.0022584965685784877,-0.029688162299097515,0.002259047637734896,-13.141892983215383,413,676
a_L_1_0,phase,aphi_L_1_0,0.7158222048314746,0.0008541389017097396,-2.9920342499562476,0.04862140878374086,2.5753288523918645,0.048628910592147204,52.95880210007705,413,676
a_L_1_1,magnitude,a_L_1_1,0.3551986387490458,2.5610426461470156e-05,0.2464942429074328,0.004919713700926719,-0.10870439584161298,0.0049197803602426815,-22.09537578548544,413,676
a_L_1_1,phase,aphi_L_1_1,-0.2772141065477425,0.0007370001945041565,-2.4081109842704955,0.007688990172132375,-2.130896877722753,0.007724230651258895,-275.8717306526132,413,676
b_T_1_m1,magnitude,b_T_1_m1,0.24824849454146236,4.9260733081368876e-05,0.211378791299501,0.009007006882991745,-0.03686970324196137,0.009007141589321465,-4.093385551490912,413,676
b_T_1_m1,phase,bphi_T_1_m1,-1.3334464641479524,0.0001009476535093277,-2.8327886272350162,0.446691400517756,-1.4993421630870638,0.4466914119243206,-3.3565502337015727,413,676
b_T_1_0,magnitude,b_T_1_0,0.21286416285734447,2.0743623574246805e-05,0.3093597407512702,0.0001237248685561978,0.09649557789392574,0.00012545174776876754,769.1848030031932,413,676
b_T_1_0,phase,bphi_T_1_0,-0.8160271584451131,0.00010306832792616895,-2.3110963100411865,0.4686262995690672,-1.4950691515960735,0.46862631090334367,-3.1903226874182877,413,676
b_T_1_1,magnitude,b_T_1_1,0.6045214578344831,1.5067963715587977e-05,0.06364753024393963,0.007160057889935897,-0.5408739275905434,0.007160073744785302,-75.54027330856238,413,676
b_T_1_1,phase,bphi_T_1_1,0.0,-0.0,0.0,0.0,0.0,0.0,,413,676
b_L_1_1,magnitude,b_L_1_1,0.2165775283327596,3.0328166432219665e-05,0.3214873024061484,0.008993185335353614,0.10490977407338883,0.008993236473800655,11.66540815189447,413,676
b_L_1_1,phase,bphi_L_1_1,1.4929646716270337,6.87589375806532e-05,2.8827107341864693,0.4895001236888466,1.3897460625594356,0.48950012851805014,2.839112763395708,413,676
