moment,file1_mean,file1_std,file1_n,file2_mean,file2_std,file2_n,known_value,known_error,file1_minus_known,file2_minus_known,file2_minus_file1,file1_known_combined_error,file2_known_combined_error,file2_file1_combined_error
H04_2_0,-0.1868171342807104,8.162352307753277e-06,413,-0.1796458821444023,0.0005305790995778521,676,0.16988,0.0250067,-0.35669713428071037,-0.3495258821444023,0.007171252136308093,0.02500670133212286,0.025012328141756593,0.0005306418800886717
H04_2_1,0.013286926156750948,6.052176514615251e-06,413,0.015176565114010747,0.002211963280648753,676,0.0597211,0.0095559,-0.04643417384324905,-0.04454453488598925,0.0018896389572597982,0.009555901916556102,0.009808568007866307,0.0022119715603458735
H04_2_2,-0.002811923012227106,5.6093301974831535e-06,413,-0.005238393769878453,0.000163045704438883,676,0.00725049,0.00505711,-0.010062413012227106,-0.012488883769878452,-0.0024264707576513466,0.005057113110924578,0.0050597376862675375,0.00016314216598180858
H_1_0_0,0.146598383337481,3.2173349235942525e-05,413,-0.023101476881437454,0.0029463525129608975,676,0.1278,0.0441207,0.01879838333748099,-0.15090147688143746,-0.16969986021891845,0.04412071173059656,0.044218968346407976,0.002946528169733331
H_1_2_0,0.04833418914995616,6.314260548571787e-06,413,-0.02282637942458615,0.0008417434734642404,676,0.02736,0.0131891,0.02097418914995616,-0.05018637942458615,-0.07116056857454231,0.013189101511470987,0.013215933220363957,0.0008417671560508402
H_1_2_1,-0.08115488003908607,5.852661098062976e-06,413,0.07968633708602685,0.0020542982922608544,676,0.0608296,0.00984683,-0.14198448003908606,0.01885673708602685,0.1608412171251129,0.009846831739323159,0.01005883703628237,0.002054306629310189
H_1_2_2,-0.15123857572244703,1.1887809508351138e-05,413,0.22334138606039938,0.00405467464968698,676,0.228978,0.00915205,-0.38021657572244705,-0.005636613939600604,0.3745799617828464,0.00915205772067216,0.01001001527058347,0.004054692076450336
H_2_2_1,-0.004689322787080616,6.334301348311401e-06,413,-0.029772639424463555,0.0013887521022518448,676,-0.0703905,0.00843535,0.06570117721291938,0.040617860575536444,-0.02508331663738294,0.008435352378287084,0.008548904141701959,0.0013887665480139164
H_2_2_2,0.19569178950326563,1.1898941753028561e-05,413,0.16454157252248086,0.003842236812614063,676,-0.225353,0.00727032,0.4210447895032656,0.38989457252248083,-0.031150216980784767,0.007270329737172506,0.008223158555360993,0.0038422552373601516
H_3_2_1,-0.04602898224510136,1.6490959447786485e-05,413,-0.09893054615691198,0.0032926427780316765,676,0.00942236,0.0186321,-0.05545134224510136,-0.10835290615691198,-0.05290156391181062,0.018632107297934485,0.018920799319101827,0.0032926840746521167
H_3_2_2,0.1272657033740036,2.0592332709329612e-05,413,-0.16031385743520843,0.004635317026077953,676,0.0273363,0.0227737,0.0999294033740036,-0.18765015743520844,-0.28757956080921204,0.022773709309951387,0.02324064490547214,0.0046353627664309695
H_5_0_0,0.10517172181169772,2.1513253226946487e-05,413,-0.15044666873166024,0.0009854191565806675,676,-0.2874,0.0291506,0.3925717218116977,0.13695333126833975,-0.25561839054335794,0.029150607938430106,0.029167251006465385,0.000985653962717424
H_5_2_0,-0.10945378515241698,7.779624705020843e-06,413,0.09278047594945478,0.0008924576152512794,676,-0.1128,0.0108818,0.003346214847583018,0.20558047594945478,0.20223426110187176,0.010881802780907241,0.010918335579886708,0.0008924915224138276
