amplitude,file1_mag,file1_phase,file1_real,file1_imag,file1_real_std_est,file1_imag_std_est,file2_mag,file2_phase,file2_real,file2_imag,file2_real_std_est,file2_imag_std_est,delta_real,delta_imag,delta_abs,delta_arg,relative_delta_abs,delta_real_std_est,delta_imag_std_est,delta_real_pull,delta_imag_pull
a_T_1_m1,0.32710424684808687,0.47591309505739376,0.2907547080893873,0.14986289744266024,9.084529224658452e-05,0.0001723906947145039,0.663803159548557,1.6747004576993474,-0.0688478531512497,0.6602231499600048,0.012135609322807972,0.003204830911598214,-0.359602561240637,0.5103602525173445,0.6243249069197814,2.184606443396378,1.9086420091932623,0.012135949344939898,0.003209464086659888,-29.63118508652756,159.01728099674114
a_T_1_0,0.33169670920187044,0.3688944952743394,0.30938232502304697,0.11960469831358606,6.113502559113043e-05,0.00015429033308739647,0.26987221698593167,0.21978331064229328,0.2633803637458924,0.05883704185275781,0.0006205588812027871,0.001866612092900188,-0.04600196127715456,-0.06076765646082825,0.07621606466543696,-2.2187712467743346,0.2297763666357386,0.0006235630011423729,0.0018729778995614016,-73.77275622972908,-32.44440656510593
a_T_1_1,0.10659208076041306,0.0,0.10659208076041306,0.0,1.565501302475202e-05,0.0,0.25279408914803786,0.0,0.25279408914803786,0.0,0.014490209833678502,0.0,0.14620200838762482,0.0,0.14620200838762482,0.0,1.371602912192351,0.014490218290400802,0.0,10.08970365094347,
a_L_1_0,0.1670274182145766,0.7158222048314746,0.12603119553897893,0.1096097449428778,0.00010090816665403114,0.00011251761509708448,0.13733925591547907,-2.9920342499562476,-0.13580613407449874,-0.02046375242121359,0.0024449007482756266,0.006611655176704375,-0.26183732961347767,-0.13007349736409138,0.2923660409412202,-2.6805306444127694,1.7504074724164373,0.0024469822490194317,0.0066126125237570745,-107.00418023808818,-19.670515533274855
a_L_1_1,0.3551986387490458,-0.2772141065477425,0.34163772489934596,-0.09720976234295585,7.575998550605216e-05,0.00025188460532545997,0.2464942429074328,-2.4081109842704955,-0.18310777285199303,-0.1650180454001665,0.0038685927068712388,0.0035818576768263475,-0.524745497751339,-0.06780828305721066,0.5291084961153689,-3.0130835074218285,1.4896129612962665,0.0038693344527271373,0.0035907033115310156,-135.61647465793357,-18.88440151528374
b_T_1_m1,0.24824849454146236,-1.3334464641479524,0.058370076615531195,-0.24128872579961022,2.6971187730703805e-05,4.8240891565560277e-05,0.211378791299501,-2.8327886272350162,-0.20138009481063707,-0.06424212656269106,0.02995190272555089,0.08999639779817933,-0.25975017142616824,0.17704659923691918,0.3143495663386257,2.5433203979176167,1.2662697790746245,0.02995191486910028,0.08999641072749379,-8.672239239506453,1.9672628919947768
b_T_1_0,0.21286416285734447,-0.8160271584451131,0.14583761068872234,-0.15505658043940843,2.1386525487460046e-05,2.1313339657868967e-05,0.3093597407512702,-2.3110963100411865,-0.20866605605126845,-0.2283898558379991,0.10702952553590023,0.09778644435402127,-0.3545036667399908,-0.07333327539859066,0.36200914216740987,-2.937607975648391,1.7006580032450935,0.10702952767261656,0.09778644667672788,-3.3122043463029347,-0.7499329190375745
b_T_1_1,0.6045214578344831,0.0,0.6045214578344831,0.0,1.5067963715587977e-05,0.0,0.06364753024393963,0.0,0.06364753024393963,0.0,0.007160057889935897,0.0,-0.5408739275905434,0.0,0.5408739275905434,-3.141592653589793,0.8947141918304474,0.007160073744785302,0.0,-75.54027330856238,
b_L_1_1,0.2165775283327596,1.4929646716270337,0.016839573777737316,0.21592187136487914,1.5032663640548974e-05,3.0258513963796863e-05,0.3214873024061484,2.8827107341864693,-0.31077432020506474,0.08230071390615164,0.04121353774923247,0.15214148840833988,-0.32761389398280205,-0.1336211574587275,0.3538155978065194,-2.754327380988773,1.633667170044073,0.04121354049081911,0.1521414914173076,-7.949181023546925,-0.8782690127061996
