amplitude,quantity,mean_test,std_test,mean_eRhoLastBin,std_eRhoLastBin,difference,combined_error,pull,branch
a_L_1_0,magnitude,0.453251949426972,0.22719326475142346,0.5003509097422663,0.25248717862689696,0.04709896031529426,0.3396565249180133,0.13866643759210298,a_L_1_0
a_L_1_0,phase,-0.05694793412335171,1.6598200390140123,-0.02260290714899057,0.2107396230838197,0.03434502697436104,1.673144868399024,0.020527228468401926,aphi_L_1_0
a_L_1_1,magnitude,0.20582062004054036,0.1550292096720673,0.08062855516154073,0.04268327434708648,-0.12519206487899964,0.1607977542148349,-0.7785684911478052,a_L_1_1
a_L_1_1,phase,-2.933031603854841,1.3518251747240522,-2.9264969910602585,1.0414244698486061,0.006534612794582451,1.7064572158179545,0.003829344641055194,aphi_L_1_1
a_T_1_0,magnitude,0.24372679000377012,0.1450386348473497,0.17291967330688274,0.09874236404016284,-0.07080711669688738,0.17546013807877528,-0.40355101433407936,a_T_1_0
a_T_1_0,phase,-0.5991306688839814,1.5701305575809879,-0.26834676387738715,0.4624670778124126,0.3307839050065944,1.6368218491668347,0.2020891309429722,aphi_T_1_0
a_T_1_1,magnitude,0.28877475526372093,0.3144777485390548,0.6512997900854236,0.0698102778605992,0.3625250348217027,0.3221330924030734,1.1253889878786134,a_T_1_1
a_T_1_1,phase,0.0,-0.0,0.0,-0.0,0.0,0.0,,aphi_T_1_1
a_T_1_m1,magnitude,0.22115219557707952,0.17278197387713026,0.11078497141064156,0.07367003309739296,-0.11036722416643796,0.18783206401849578,-0.5875845785071612,a_T_1_m1
a_T_1_m1,phase,2.405991636697235,1.5354930230791413,2.001011548692827,1.232425039041119,-0.4049800880044083,1.968910942826065,-0.2056873570031169,aphi_T_1_m1
b_L_1_1,magnitude,0.2603489900083196,0.11702803021410914,0.17020466586922367,0.0966442608532661,-0.09014432413909595,0.15177507374950797,-0.5939336540061354,b_L_1_1
b_L_1_1,phase,2.561658625614398,1.7886228163632016,2.2288878427740624,1.4596077933624727,-0.3327707828403357,2.3085983820620464,-0.14414407695421838,bphi_L_1_1
b_T_1_0,magnitude,0.2890702670811231,0.12301366346933455,0.3077659783111895,0.10044381867387336,0.018695711230066414,0.1588122227976696,0.11772211798763862,b_T_1_0
b_T_1_0,phase,0.7786827508240102,1.822646803349165,0.053684266225463,1.0991913597253231,-0.7249984845985473,2.1284414521084987,-0.3406241143632783,bphi_T_1_0
b_T_1_1,magnitude,0.17977507363555814,0.14631412796420612,0.12192742045427017,0.07745113472883917,-0.05784765318128797,0.16554909336118662,-0.3494289941840931,b_T_1_1
b_T_1_1,phase,0.0,-0.0,0.0,-0.0,0.0,0.0,,bphi_T_1_1
b_T_1_m1,magnitude,0.19450560955805132,0.16139853441037866,0.1906654739759267,0.1602386188216798,-0.003840135582124621,0.22743329103650983,-0.01688466787172404,b_T_1_m1
b_T_1_m1,phase,-2.9625721524405675,1.8145696291914402,2.510079095669303,2.128611544812824,-0.8105340590697168,2.797078841916044,-0.2897787673780722,bphi_T_1_m1
